cluster,n_entities,avg_delay_rate,avg_cancel_rate,avg_severity_min,total_flights,avg_carrier_share,avg_weather_share,avg_late_aircraft_share
0,4,0.1183,0.0762,66.2343,91997.0,0.3055,0.0395,0.4349
1,22,0.189,0.0246,73.1376,40818256.0,0.339,0.0649,0.4004
