airport,airport_full_name,total_flights,delayed_flights,cancelled_flights,total_delay_min,carrier_delay_min,weather_delay_min,nas_delay_min,security_delay_min,late_aircraft_delay_min,delay_rate,cancellation_rate,avg_delay_severity,carrier_share,weather_share,nas_share,late_aircraft_share,cluster
PVD,"Providence, RI: Rhode Island Tf Green International",55947.0,12386.0,890.0,828563.0,302239.0,49535.0,102677.0,1596.0,372516.0,0.2213880994512664,0.015907912846086475,66.89512352656224,0.36477491753795427,0.05978422883956923,0.12392177782498132,0.4495928493065705,1
PVD,"Providence, RI: Theodore Francis Green State",33506.0,6049.0,1537.0,381037.0,158219.0,27285.0,48977.0,606.0,145950.0,0.1805348295827613,0.045872381066077716,62.99173417093734,0.41523264144951805,0.0716072192464249,0.1285360739245795,0.3830336686463519,1
PVU,"Provo, UT: Provo Municipal",10106.0,2915.0,265.0,269289.0,96906.0,30072.0,33955.0,477.0,107879.0,0.2884425094003562,0.026222046309123292,92.38044596912522,0.359858739124138,0.11167184697481145,0.12609129968175456,0.4006067830472095,1
PWM,"Portland, ME: Portland International Jetport",68562.0,12896.0,2123.0,892262.0,323572.0,67218.0,136654.0,897.0,363921.0,0.18809252938945772,0.030964674309384207,69.18905086848635,0.36264236289341023,0.07533437488092062,0.15315456670798488,0.40786338541818434,1
RAP,"Rapid City, SD: Rapid City Regional",30904.0,5559.0,673.0,388972.0,160115.0,50890.0,48336.0,391.0,129240.0,0.1798796272327207,0.02177711623090862,69.97157762187443,0.411636313153646,0.1308320393241673,0.12426601400614955,0.33226041977314563,1
RDD,"Redding, CA: Redding Municipal",4278.0,609.0,76.0,47022.0,27900.0,2901.0,2485.0,0.0,13736.0,0.1423562412342216,0.017765310892940627,77.21182266009852,0.5933392879928544,0.06169452596656884,0.05284760324954277,0.292118582791034,0
RDD,"Redding, CA: Redding Regional",4306.0,730.0,36.0,68977.0,25421.0,12655.0,13580.0,120.0,17201.0,0.1695308871342313,0.008360427310729215,94.48904109589041,0.368543137567595,0.18346695275236674,0.19687721994287952,0.24937297939893008,1
RDM,"Bend/Redmond, OR: Roberts Field",46426.0,6729.0,788.0,407781.0,163655.0,51918.0,40613.0,1458.0,150137.0,0.1449403351570241,0.016973247749106104,60.60053499777084,0.40133061618859145,0.12731833999131886,0.09959512581508212,0.368180469418634,1
RDU,"Raleigh/Durham, NC: Raleigh-Durham International",318249.0,63198.0,7265.0,4276854.0,1547512.0,192324.0,602665.0,8113.0,1926240.0,0.19858035689035944,0.02282803716586698,67.6738820848761,0.36183418933636735,0.04496856801751942,0.14091315719451727,0.4503871303532924,1
RFD,"Rockford, IL: Chicago/Rockford International",4752.0,800.0,118.0,55660.0,25914.0,6909.0,11020.0,465.0,11352.0,0.16835016835016836,0.024831649831649833,69.575,0.46557671577434423,0.12412863816025871,0.1979877829680201,0.20395256916996046,1
RHI,"Rhinelander, WI: Rhinelander/Oneida County",4810.0,673.0,78.0,57835.0,38845.0,15124.0,2531.0,28.0,1307.0,0.13991683991683992,0.016216216216216217,85.93610698365528,0.6716521137719375,0.2615025503587793,0.04376242759574652,0.022598772369672344,0
RIC,"Richmond, VA: Richmond International",131712.0,26421.0,3334.0,1834991.0,680185.0,110902.0,273579.0,3263.0,767062.0,0.20059675655976678,0.025312803692905735,69.45198894818516,0.3706748425469117,0.060437353643696345,0.14909010452912302,0.4180194889239239,1
RIW,"Riverton/Lander, WY: Central Wyoming Regional",1909.0,316.0,26.0,27837.0,14729.0,2650.0,2623.0,24.0,7811.0,0.16553169198533263,0.013619696176008382,88.09177215189874,0.5291159248482236,0.09519703991090994,0.09422710780615727,0.28059776556381794,0
RIW,"Riverton/Lander, WY: Riverton Regional",1351.0,217.0,55.0,24334.0,16263.0,3860.0,1967.0,90.0,2154.0,0.16062176165803108,0.04071058475203553,112.13824884792626,0.668324155502589,0.15862579107421715,0.08083340182460755,0.08851812279115641,0
RKS,"Rock Springs, WY: Southwest Wyoming Regional",3302.0,555.0,72.0,53705.0,32285.0,5555.0,4740.0,18.0,11107.0,0.16807995154451846,0.021804966686856452,96.76576576576576,0.6011544548924681,0.10343543431710268,0.08825993855320734,0.20681500791360208,0
RNO,"Reno, NV: Reno/Tahoe International",120521.0,22288.0,2276.0,1265078.0,502508.0,62271.0,130975.0,2179.0,567145.0,0.18493042706250362,0.018884675699670596,56.76049892318736,0.3972150333813409,0.04922305185925295,0.1035311656672553,0.4483083256526475,1
ROA,"Roanoke, VA: Roanoke Blacksburg Regional",23216.0,4753.0,332.0,339972.0,100649.0,42097.0,60309.0,199.0,136718.0,0.20472949689869055,0.014300482425913164,71.52787713023353,0.29605085124657327,0.1238249032273246,0.17739402068405632,0.4021448825197369,1
ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",13977.0,1845.0,492.0,128004.0,41223.0,19795.0,20347.0,178.0,46461.0,0.1320025756600129,0.0352006868426701,69.37886178861788,0.32204462360551234,0.15464360488734727,0.15895597012593357,0.36296521983688007,1
ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",53586.0,11075.0,1066.0,750649.0,271170.0,42006.0,104600.0,753.0,332120.0,0.2066771171574665,0.019893255701115962,67.778690744921,0.3612474005826958,0.05595957631329689,0.13934608585370792,0.4424438052938191,1
ROC,"Rochester, NY: Greater Rochester International",32371.0,5292.0,1404.0,355745.0,148306.0,25942.0,46122.0,810.0,134565.0,0.16347965771832812,0.043372154088536036,67.22316704459561,0.41688850159524377,0.07292302070303167,0.1296490463674823,0.3782625195013282,1
ROW,"Roswell, NM: Roswell Air Center",3209.0,585.0,75.0,44568.0,23393.0,10121.0,4342.0,533.0,6179.0,0.18229978186350887,0.023371766905578063,76.18461538461538,0.524883324358284,0.22709118650152577,0.09742416083288458,0.13864207503141268,0
