Type,Model,Accuracy,Precision,Recall,F1
Baseline,Logistic Regression,0.6457001367382387,0.5613903099608787,0.3586465442660771,0.43767962930377147
Baseline,Decision Tree,0.7347278169924979,0.6659462797159618,0.6220321061232337,0.6432405566600397
Secondary,Random Forest,0.765734136516501,0.7236900044033465,0.6319330962222436,0.6747062143993431
Secondary,Gradient Boosting,0.7724601796075243,0.7333992963940194,0.6412573296164568,0.6842402174470484
