k,silhouette,inertia
2,0.36015774738344736,2173.094497762489
3,0.35610219279424554,1900.110729243954
4,0.22913953121174926,1664.68011656099
5,0.22561659255993272,1498.4482312322139
6,0.2195670315271966,1241.1903649000444
7,0.23475288960460575,1111.7163867350364
