Type,Model,MAE,RMSE,R2
Baseline,Ridge Regression,24.203318911488317,41.946871622700556,0.02443722388544134
Baseline,Decision Tree Regressor,21.865547141613543,45.48195492936938,-0.14692313743363772
Secondary,Random Forest Regressor,21.23705818793559,40.22672056565797,0.10280814048175535
Secondary,Gradient Boosting Regressor,20.955967532753796,39.86383331569027,0.11892235251064376
