airport,airport_full_name,total_flights,delayed_flights,cancelled_flights,total_delay_minutes,delay_rate,cancellation_rate,avg_delay_minutes
SWF,"Newburgh/Poughkeepsie, NY: New York Stewart International",4143.0,795.0,171.0,51558.0,0.19188993482983346,0.041274438812454746,64.85283018867925
SWO,"Stillwater, OK: Stillwater Regional",4024.0,547.0,116.0,42258.0,0.13593439363817097,0.02882703777335984,77.25411334552102
SYR,"Syracuse, NY: Syracuse Hancock International",85000.0,17065.0,2479.0,1167810.0,0.20076470588235293,0.02916470588235294,68.43305010254907
TBN,"Fort Leonard Wood, MO: Waynesville-St. Robert Regional Forney Field",631.0,59.0,38.0,5400.0,0.09350237717908082,0.060221870047543584,91.52542372881356
TLH,"Tallahassee, FL: Tallahassee International",33828.0,5662.0,693.0,361489.0,0.16737613811044105,0.020485987938985456,63.844754503708934
TOL,"Toledo, OH: Eugene F Kranz Toledo Express",1366.0,283.0,12.0,22546.0,0.20717423133235724,0.008784773060029283,79.6678445229682
TOL,"Toledo, OH: Toledo Express",3487.0,548.0,141.0,35314.0,0.1571551476914253,0.04043590478921709,64.44160583941606
TPA,"Tampa, FL: Tampa International",430516.0,92029.0,10947.0,6038103.0,0.2137644129370337,0.025427626383223854,65.6108726597051
TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",23349.0,3388.0,345.0,225489.0,0.14510257398603796,0.014775793395862777,66.5551948051948
TTN,"Trenton, NJ: Trenton Mercer",10555.0,2747.0,371.0,203087.0,0.2602558029369967,0.035149218379914735,73.93046960320349
TUL,"Tulsa, OK: Tulsa International",99674.0,20078.0,2182.0,1282870.0,0.2014366835884985,0.021891365852679735,63.89431218248829
TUS,"Tucson, AZ: Tucson International",101942.0,18634.0,1564.0,1134730.0,0.18279021404327953,0.015342057248239194,60.89567457336052
TVC,"Traverse City, MI: Cherry Capital",31083.0,5960.0,570.0,432269.0,0.19174468358910016,0.018337998262715954,72.52835570469799
TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional",4306.0,369.0,23.0,29989.0,0.08569437993497446,0.005341384115188109,81.2710027100271
TXK,"Texarkana, AR: Texarkana Regional-Webb Field",5644.0,807.0,160.0,58535.0,0.14298369950389794,0.028348688873139617,72.53407682775712
TYR,"Tyler, TX: Tyler Pounds Regional",6988.0,1062.0,309.0,73009.0,0.15197481396680024,0.044218660560961645,68.74670433145009
TYS,"Knoxville, TN: McGhee Tyson",103438.0,21276.0,2238.0,1564436.0,0.2056884317175506,0.02163614919081962,73.53055085542395
UIN,"Quincy, IL: Quincy Regional-Baldwin Field",9.0,1.0,0.0,74.0,0.1111111111111111,0.0,74.0
USA,"Concord, NC: Concord Padgett Regional",5427.0,1389.0,333.0,96476.0,0.25594250967385296,0.06135986733001658,69.45716342692585
VCT,"Victoria, TX: Victoria Regional",3178.0,417.0,74.0,64372.0,0.13121460037759597,0.02328508495909377,154.3693045563549
VEL,"Vernal, UT: Vernal Regional",2393.0,336.0,99.0,24487.0,0.1404095277893857,0.041370664437944,72.87797619047619
VLD,"Valdosta, GA: Valdosta Regional",5650.0,809.0,71.0,74108.0,0.1431858407079646,0.012566371681415929,91.6044499381953
VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",58319.0,11672.0,1399.0,807355.0,0.20014060597746874,0.0239887515218025,69.17023646333105
VRB,"Vero Beach, FL: Vero Beach Regional",42.0,21.0,1.0,1539.0,0.5,0.023809523809523808,73.28571428571429
WRG,"Wrangell, AK: Wrangell Airport",4348.0,741.0,77.0,40174.0,0.1704231830726771,0.017709291628334865,54.21592442645074
WYS,"West Yellowstone, MT: Yellowstone",1936.0,225.0,9.0,14013.0,0.11621900826446281,0.0046487603305785125,62.28
XNA,"Fayetteville, AR: Northwest Arkansas National",50500.0,10206.0,671.0,698887.0,0.2020990099009901,0.013287128712871287,68.47805212620027
XNA,"Fayetteville, AR: Northwest Arkansas Regional",27103.0,4193.0,1018.0,268266.0,0.15470612109360588,0.03756041766594104,63.97948962556642
XWA,"Williston, ND: Williston Basin International",9549.0,1743.0,221.0,149719.0,0.18253220232485076,0.023143784689496284,85.89730349971313
YAK,"Yakutat, AK: Yakutat Airport",4346.0,660.0,80.0,31721.0,0.15186378278877127,0.01840773124712379,48.06212121212121
YKM,"Yakima, WA: Yakima Air Terminal/McAllister Field",3989.0,471.0,85.0,19352.0,0.11807470543995989,0.021308598646277262,41.08704883227176
YUM,"Yuma, AZ: Yuma MCAS/Yuma International",10132.0,1484.0,144.0,108745.0,0.14646664034741413,0.01421239636794315,73.27830188679245
